name,team,sim_pitcher_1,sim_score_1,sim_pitcher_2,sim_score_2,sim_pitcher_3,sim_score_3
Charlie Morton,Rays,Dean Kremer,940,Daniel Ponce de Leon,933,Dovydas Neverauskas,926
Chris Stratton,Pirates,Kyle Wright,968,Logan Allen,966,Wes Benjamin,965
Brandon Bielak,Astros,Max Scherzer,956,Daniel Mengden,956,Humberto Castellanos,952
Buck Farmer,Tigers,Kris Bubic,976,Alex Cobb,975,Ian Anderson,964
Daniel Ponce de Leon,Cardinals,Dean Kremer,939,James Paxton,936,Colin Rea,936
Taijuan Walker,- - -,Adrian Morejon,934,Jordan Weems,917,Tyler Mahle,899
Jalen Beeks,Rays,Zach Davies,858,Tyler Anderson,852,Michael Wacha,829
Michael Fulmer,Tigers,Dane Dunning,983,Robert Gsellman,982,Bryse Wilson,981
Jose Urquidy,Astros,John Gant,981,Sean Newcomb,979,John Means,971
Framber Valdez,Astros,Jorge Lopez,984,Jose Quintana,978,Corey Knebel,964
Michael King,Yankees,Bryan Garcia,981,Mychal Givens,973,Trevor Rogers,966
Scott Alexander,Dodgers,Tim Hill,893,Keury Mella,862,Tanner Rainey,823
John King,Rangers,Rony Garcia,971,Luis Patino,960,Spencer Howard,958
Jimmy Herget,Rangers,Ross Detwiler,944,Tyler Zuber,915,Patrick Corbin,900
Max Fried,Braves,Nick Pivetta,983,Austin Gomber,981,Mitch Keller,972
Freddy Peralta,Brewers,Heath Hembree,946,Emilio Pagan,939,Brett Martin,921
Sonny Gray,Reds,Austin Gomber,965,German Marquez,962,Nick Pivetta,961
Jake Odorizzi,Twins,Josh Lindblom,893,Jeff Samardzija,847,Masahiro Tanaka,802
Dean Kremer,Orioles,Cody Ponce,949,Dovydas Neverauskas,949,Charlie Morton,940
Greg Holland,Royals,Tyler Zuber,910,Madison Bumgarner,903,Clayton Kershaw,887
Colin Rea,Cubs,James Paxton,968,Cody Ponce,944,Merrill Kelly,943
Richard Rodriguez,Pirates,Josh Hader,975,Joey Gerber,959,Zack Britton,949
Nick Wittgren,Indians,Jacob Webb,933,Jared Hughes,925,Daniel Bard,898
Evan Marshall,White Sox,Ian Anderson,872,Alex Cobb,870,Ljay Newsome,861
Chris Bassitt,Athletics,Adam Plutko,947,Eric Lauer,935,Brandon Bielak,931
Dakota Hudson,Cardinals,Mitch Keller,984,Riley Smith,981,Conner Menez,969
Casey Sadler,- - -,Nick Pivetta,906,Griffin Canning,901,Sonny Gray,893
Matt Strahm,Padres,Seth Lugo,998,Humberto Mejia,981,Triston McKenzie,978
Jake Woodford,Cardinals,Robert Dugger,974,Conner Menez,970,Max Fried,970
Carlos Martinez,Cardinals,Jonathan Holder,874,A.J. Cole,860,Vince Velasquez,852
Zach Plesac,Indians,Patrick Sandoval,964,Dylan Bundy,956,Kyle Freeland,942
Triston McKenzie,Indians,Matt Harvey,985,Seth Lugo,980,Humberto Mejia,980
Paul Fry,Orioles,Geoff Hartlieb,996,Giovanny Gallegos,975,Cody Stashak,975
Nick Pivetta,- - -,Max Fried,983,Austin Gomber,978,German Marquez,969
Patrick Sandoval,Angels,Steven Brault,965,Zach Plesac,964,Mike Minor,963
Griffin Canning,Angels,Ross Stripling,972,Brady Lail,942,Derek Holland,941
David Hale,- - -,Trevor Richards,979,Matt Foster,965,Cole Sulser,963
Humberto Mejia,Marlins,Seth Lugo,984,Matt Strahm,981,Austin Gomber,980
Brad Keller,Royals,Brady Singer,992,Austin Brice,984,Cody Stashak,979
Dan Winkler,Cubs,Erasmo Ramirez,872,Jesse Chavez,853,Chris Mazza,853
Logan Webb,Giants,Tyler Alexander,898,Ian Gibaut,889,Sean Manaea,850
Daniel Norris,Tigers,Lucas Giolito,964,Steven Brault,957,Brad Boxberger,957
Tommy Hunter,Phillies,David Phelps,958,Josh Osich,916,Shawn Armstrong,914
